13102 15  2
12648 2  25
19805 15  3
13889 2  25
2924 3  12
2924 2  23
2924 1  43
18649 5  15
2924 5  13
2924 4  110
15375 10  17
11657 19  1
17689 5  14
4025 19  1
18469 10  15
19805 19  2
18988 2  27
16798 2  26
8857 19  1
4025 10  13
4025 12  2
13303 12  1
6164 19  1
13881 4  103
18649 4  101
6438 2  21
19102 1  39
14113 1  39
15328 4  103
13422 12  1
17721 3  5
15328 5  16
18721 24  1
18988 1  39
10050 19  1
12161 2  25
12161 3  7
15308 3  6
12161 1  40
13881 5  15
10050 10  15
12161 4  105
10050 12  1
1668 3  18
3275 19  1
3478 2  22
16975 3  6
19407 9  1
5612 19  1
5409 12  1
14997 3  6
5409 10  14
5409 15  1
5409 19  1
14997 1  38
6862 12  2
8708 10  16
6862 10  18
8708 12  2
15772 19  2
8708 14  1
18372 3  5
8708 19  1
6862 19  1
15772 10  16
14130 19  2
17619 19  2
10918 19  1
17480 19  2
14997 5  16
10918 12  1
12830 1  39
10918 10  14
14997 4  103
14130 15  3
17619 15  3
10918 15  1
18862 10  14
13365 3  6
9335 4  106
9335 5  15
9335 2  24
9335 3  8
12885 10  15
9335 1  40
18661 2  27
17974 19  2
15208 15  3
19711 24  1
19841 4  101
13365 1  40
2816 12  2
4182 10  12
4182 12  2
4182 19  1
1668 4  115
12222 19  1
16887 3  6
6437 3  10
16887 1  40
13706 1  39
16975 4  103
16887 5  14
16887 4  103
18379 15  4
17017 19  2
15300 2  24
13520 19  2
18218 5  14
16814 1  40
14471 19  2
9063 4  106
9063 5  14
13519 2  24
13519 3  6
13519 4  103
4584 5  12
9063 2  23
9063 3  8
19512 15  3
19512 14  1
10236 15  1
1502 5  9
10236 12  1
10236 10  14
12000 12  1
1502 2  19
12000 10  13
19512 19  2
15300 3  6
10236 19  1
4584 2  23
8847 1  41
11956 4  105
8847 3  8
8847 2  24
8847 5  14
4584 1  43
11956 3  7
11956 2  26
19883 24  1
17846 24  1
17908 4  101
1502 1  47
16055 15  3
15689 3  6
17470 19  2
16775 3  6
13411 1  40
18469 3  5
10122 10  14
13251 3  6
1307 10  8
13067 4  104
1307 12  2
13067 2  24
13067 3  7
13251 5  16
13067 1  40
14126 4  103
5657 5  13
5657 4  109
5657 3  11
5657 2  22
5657 1  42
9228 1  40
18173 4  101
9228 3  8
9228 2  24
9228 5  15
9228 4  106
18173 3  5
18173 2  27
19398 5  15
5266 19  1
16015 15  3
17217 5  14
15157 1  36
15157 2  21
15157 3  6
12908 3  7
1701 12  2
17217 3  6
1701 10  11
14812 15  3
17908 2  27
15375 19  2
1504 12  2
657 12  1
1504 10  7
657 10  4
19126 10  14
15913 5  16
19411 9  1
9760 4  106
9760 5  14
19411 5  15
19411 4  100
19411 3  5
9760 1  41
9760 2  25
9760 3  8
9466 19  1
3021 1  42
3021 2  22
3021 3  12
3021 4  110
3021 5  13
17795 3  5
15063 15  3
243 4  131
243 5  5
243 6  2
3352 2  22
3352 5  12
243 1  51
243 2  12
243 3  34
9905 19  1
11455 12  1
4229 8  1
11455 15  1
15603 3  6
9905 10  15
11455 19  1
9905 12  1
9905 15  1
18149 15  4
9659 5  14
9659 4  106
17001 4  103
9659 1  41
5532 19  1
9659 3  8
9659 2  25
2644 2  22
2644 3  13
12029 15  1
2644 1  44
18866 10  14
12029 12  1
2644 4  111
2644 5  11
4229 3  11
5576 5  13
5576 4  109
3416 10  14
4186 10  12
3416 12  2
4186 12  2
18010 5  14
16923 1  40
12793 5  15
12793 4  104
4186 19  1
3416 19  1
12793 1  40
18010 2  27
3227 4  110
3227 5  12
16743 4  103
11476 5  16
1262 12  2
3227 2  22
1262 10  8
7349 19  1
15914 24  1
17045 5  13
17045 2  27
17045 3  6
16724 4  103
6011 19  1
3694 10  14
6543 3  10
3694 12  2
6543 1  40
18230 15  3
9420 12  1
6543 4  108
6543 5  15
18230 19  2
3694 19  1
4229 4  107
13880 1  39
9420 19  1
6442 2  21
6442 3  10
6515 19  1
6442 1  40
11478 4  105
3364 19  1
6442 4  108
6442 5  15
7510 1  40
6515 12  2
7510 3  9
6515 10  16
3364 10  14
7510 4  107
3364 12  2
13068 2  24
12286 4  105
19799 19  2
15692 5  16
14212 2  23
15572 10  17
4261 19  1
12286 5  16
18479 2  26
18479 3  5
2679 4  111
2679 5  11
2679 2  21
2679 3  13
18479 4  101
2679 1  44
515 6  3
3642 2  23
515 4  126
515 5  6
515 2  16
515 3  30
3642 5  12
515 1  50
14159 1  38
12286 1  39
3743 3  11
3743 2  22
3743 1  42
16357 4  103
12286 2  24
3743 5  13
3743 4  109
12131 15  1
12161 5  15
1705 12  2
1705 10  11
12742 19  1
18883 3  5
12742 15  2
3490 1  43
5262 19  1
12742 10  14
19631 24  1
12398 5  16
16357 3  6
16745 19  2
15783 3  6
2210 5  13
2210 4  111
2210 6  1
2210 1  43
2210 3  14
2210 2  22
6697 10  17
9731 15  1
12996 15  2
19162 10  14
19721 24  1
14682 2  23
9682 1  41
14682 1  37
11733 12  1
14682 4  103
14682 5  17
18090 5  14
14522 10  17
18883 5  15
18090 1  40
9682 3  8
18090 3  5
18090 2  27
14703 2  24
14703 3  6
15704 2  25
14703 1  38
16137 3  6
16137 2  25
14703 4  103
14703 5  16
15924 10  17
16743 2  26
12984 2  26
17855 24  1
337 10  4
17936 5  14
17932 19  2
7485 4  107
7485 5  15
7485 2  22
7485 3  9
7485 1  40
15704 3  6
17932 10  14
17932 15  4
17127 3  6
15924 15  3
12330 15  1
12646 15  2
12330 10  17
12330 12  1
14039 3  6
4482 1  43
4482 2  23
4482 3  11
4482 4  109
4482 5  12
2177 3  15
15410 19  2
11592 15  1
13537 15  2
12939 19  1
11592 10  15
11592 12  1
11592 19  1
19359 4  101
19359 5  15
19359 1  39
19359 2  27
19168 3  5
16301 15  3
14621 4  103
19399 24  1
13577 4  103
16312 3  6
5029 4  109
9179 19  1
5029 2  22
5029 3  11
12372 10  17
5029 1  42
19160 5  15
19044 3  5
10090 2  25
19090 15  3
12372 19  1
7012 10  17
7012 12  2
2597 6  1
2597 1  43
12673 3  7
18753 3  5
3598 5  14
3598 4  109
7706 4  107
7706 5  14
3598 1  41
2244 12  2
3598 3  11
3598 2  22
11516 15  1
17956 1  40
9179 10  16
14231 5  17
19615 5  16
17684 4  102
16643 4  103
19936 24  1
17225 5  14
3108 4  110
15772 15  3
13422 19  2
14987 1  38
18814 14  1
15704 4  103
3245 12  2
3245 10  14
14987 3  6
16643 3  6
17835 19  2
19828 24  1
17835 15  3
3245 19  1
12128 19  1
17835 10  12
15867 4  103
15867 5  16
6393 5  15
6393 4  108
6393 3  10
6393 2  21
6393 1  40
15867 3  6
12365 12  1
7420 10  17
7420 12  2
4402 1  42
4402 2  23
4402 3  11
4402 4  108
4402 5  13
4402 6  1
18453 19  2
14350 5  16
15146 15  3
15146 10  18
3196 12  2
3196 10  13
13235 19  1
13235 15  2
15423 4  103
11713 19  1
13235 10  16
13235 12  1
8309 12  2
16160 4  103
